MS SubClass,Lot Frontage,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Cond,Foundation,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Family,Sale Condition_Normal,Sale Condition_Partial,Exter Qual_Ord,Kitchen Qual_Ord,Bsmt Qual_Ord,Heating QC_Ord,Garage Qual_Ord,Gr Liv Area_Scaled,Lot Area_Scaled,price_per_sqft,total_bathrooms,qual_x_area,SalePrice_Log,house_age_group
20,141.0,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,TA,CBlock,Gd,Gd,BLQ,639.0,Unf,0.0,441.0,1080.0,GasA,Y,SBrkr,1656,0,0,1.0,0.0,1,0,3,1,7,Typ,2,Gd,Attchd,1960.0,Fin,2.0,528.0,TA,P,210,62,0,0,0,0,None,None,None,0,5,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,3,2,3,0.3216853524030986,2.7443807281109063,129.83091787439614,2.0,9936,12.278397958261774,Older
20,80.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,No,Rec,468.0,LwQ,144.0,270.0,882.0,GasA,Y,SBrkr,896,0,0,0.0,0.0,1,0,2,1,5,Typ,0,None,Attchd,1961.0,Unf,1.0,730.0,TA,Y,140,0,0,0,120,0,None,MnPrv,None,0,6,2010,WD ,False,False,False,True,False,False,False,False,False,True,False,3,3,3,3,3,-1.220193030167083,0.18709726495376833,117.1875,1.0,4480,11.561725152903833,Mid-Century
20,81.0,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,CBlock,TA,No,ALQ,923.0,Unf,0.0,406.0,1329.0,GasA,Y,SBrkr,1329,0,0,0.0,0.0,1,1,3,1,6,Typ,0,None,Attchd,1958.0,Unf,1.0,312.0,TA,Y,393,36,0,0,0,0,None,None,Gar2,12500,6,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,4,3,3,3,-0.3417281095711769,0.5228137013271369,129.4206170052671,1.5,7974,12.055255569732177,Older
20,93.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,CBlock,TA,No,ALQ,1065.0,Unf,0.0,1045.0,2110.0,GasA,Y,SBrkr,2110,0,0,1.0,0.0,2,1,3,1,8,Typ,2,TA,Attchd,1968.0,Fin,2.0,522.0,TA,Y,0,0,0,0,0,0,None,None,None,0,4,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,4,5,3,5,3,1.2427548072542334,0.1284579479010287,115.63981042654028,3.5,14770,12.404927602627597,Mid-Century
60,74.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,TA,No,GLQ,791.0,Unf,0.0,137.0,928.0,GasA,Y,SBrkr,928,701,0,0.0,0.0,2,1,3,1,6,Typ,1,TA,Attchd,1997.0,Fin,2.0,482.0,TA,Y,212,34,0,0,0,0,None,MnPrv,None,0,3,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,4,4,3,0.2669080940749474,0.46734750749153686,116.57458563535911,2.5,8145,12.15425816271595,Modern
60,78.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,TA,PConc,TA,No,GLQ,602.0,Unf,0.0,324.0,926.0,GasA,Y,SBrkr,926,678,0,0.0,0.0,2,1,3,1,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,470.0,TA,Y,360,36,0,0,0,0,None,None,None,0,6,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,4,3,5,3,0.2161884104377704,-0.02156731780533106,121.88279301745636,2.5,9624,12.18332077348399,Modern
120,41.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,PConc,TA,Mn,GLQ,616.0,Unf,0.0,722.0,1338.0,GasA,Y,SBrkr,1338,0,0,1.0,0.0,2,0,2,1,6,Typ,0,None,Attchd,2001.0,Fin,2.0,582.0,TA,Y,0,0,170,0,0,0,None,None,None,0,4,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,4,4,4,5,3,-0.3234690234617931,-0.6635536070970127,159.56651718983557,3.0,10704,12.271396795480596,Recent
120,43.0,Pave,None,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,PConc,TA,No,ALQ,263.0,Unf,0.0,1017.0,1280.0,GasA,Y,SBrkr,1280,0,0,0.0,0.0,2,0,2,1,5,Typ,0,None,Attchd,1992.0,RFn,2.0,506.0,TA,Y,0,82,0,0,144,0,None,None,None,0,1,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,4,4,4,5,3,-0.4411386895000438,-0.6527649881587382,149.609375,2.0,10240,12.162648309521318,Modern
120,39.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,PConc,TA,No,GLQ,1180.0,Unf,0.0,415.0,1595.0,GasA,Y,SBrkr,1616,0,0,1.0,0.0,2,0,2,1,5,Typ,1,TA,Attchd,1995.0,RFn,2.0,608.0,TA,Y,237,152,0,0,0,0,None,None,None,0,3,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,4,4,4,5,3,0.24053385858361537,-0.604025815543474,146.3490099009901,3.0,12928,12.373707715234994,Modern
60,60.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,TA,No,Unf,0.0,Unf,0.0,994.0,994.0,GasA,Y,SBrkr,1028,776,0,0.0,0.0,2,1,3,1,7,Typ,1,TA,Attchd,1999.0,Fin,2.0,442.0,TA,Y,140,60,0,0,0,0,None,None,None,0,6,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,4,3,4,3,0.6219458795351865,-0.3360872910882072,104.76718403547672,2.5,12628,12.149507585033072,Modern
